,name,text
10,RSM1328645BMDG665BMDG  645  665 Watt 660W,name: RSM1328645BMDG665BMDG  645  665 Watt 660W; Manufacturer (Brand): Risen Energy; Cell Type: Monocrystalline; Cell Dimensions: 2384 x 1303 x 35mm; Number of cells: 132.0; Application: Commercial; minimum wattage: 660.0; weight: 41.0; product url: [RSM132-8-645BMDG-665BMDG - 645 - 665 Watt (660W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rsm132-8-645bmdg-665bmdg-645-665-watt-660w-)
11,Cheetah HC 72M 390410 Watt Monocrystalline PERC Half Cell Model 390W,name: Cheetah HC 72M 390410 Watt Monocrystalline PERC Half Cell Model 390W; Manufacturer (Brand): Jinko Solar; Cell Type: Monocrystalline PERC; Cell Dimensions: 2008 x 1002 x 30mm; Number of cells: 144.0; Application: Residential; minimum wattage: 390.0; weight: 9.98; product url: [Cheetah HC 72M. 390-410 Watt. Monocrystalline PERC Half Cell Model (390W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-cheetah-hc-72m-390-410-watt-monocrystalline-perc-half-cell-model-390w-)
12,Tallmax Plus FRAMED 144 HALFCELL MODULE  345  395 Watt 365W,name: Tallmax Plus FRAMED 144 HALFCELL MODULE  345  395 Watt 365W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline; Cell Dimensions: 2000 x 992 x 40mm; Number of cells: 144.0; Application: Residential; minimum wattage: 365.0; weight: 23.0; product url: [Tallmax Plus FRAMED 144 HALF-CELL MODULE - 345 - 395 Watt (365W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tallmax-plus-framed-144-half-cell-module-345-395-watt-365w-)
13,Vertex Bifacial Dual Glass Moncosrystalline Module   640  665 Watt 640W,name: Vertex Bifacial Dual Glass Moncosrystalline Module   640  665 Watt 640W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline; Cell Dimensions: 2384 x 1303 x 35mm; Number of cells: 132.0; Application: Commercial; minimum wattage: 640.0; weight: 38.7; product url: [Vertex Bifacial Dual Glass Moncosrystalline Module  - 640 - 665 Watt (640W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-vertex-bifacial-dual-glass-moncosrystalline-module-640-665-watt-640w-)
14,First Solar Series 4x PV Module  105  1175 Watt 1125W,name: First Solar Series 4x PV Module  105  1175 Watt 1125W; Manufacturer (Brand): First Solar; Cell Type: Thin-film; Cell Dimensions: 1200 x 600 x 6.8mm; Number of cells: 105.0; Application: Residential; minimum wattage: 112.0; weight: 12.0; product url: [First Solar Series 4x PV Module - 105 - 117.5 Watt (112.5W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-4x-pv-module-105-117-5-watt-112-5w-)
15,LG NeON 2 60 Cell  Monocrystalline  340  370  340W,name: LG NeON 2 60 Cell  Monocrystalline  340  370  340W; Manufacturer (Brand): LG Solar; Cell Type: Monocrystalline; Cell Dimensions: 1686 x 1016 x 40mm; Number of cells: 60.0; Application: Residential; minimum wattage: 340.0; weight: 17.1; product url: [LG NeON 2 60 Cell - Monocrystalline - 340 - 370  (340W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-lg-neon-2-60-cell-monocrystalline-340-370-340w-)
16,Monocrystalline PV Module  PENTA+ Premium  290  310 Watt 310W,name: Monocrystalline PV Module  PENTA+ Premium  290  310 Watt 310W; Manufacturer (Brand): Astronergy; Cell Type: Monocrystalline; Cell Dimensions: 1650 x 992 x 35mm; Number of cells: nan; Application: Residential; minimum wattage: 310.0; weight: 18.4; product url: [Monocrystalline PV Module - PENTA+ Premium - 290 - 310 Watt (310W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-290-310-watt-310w-)
17,DEEP BLUE 30  JAM54S30   395  420 Watt 420W,name: DEEP BLUE 30  JAM54S30   395  420 Watt 420W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 1722 x 1134 x 30mm; Number of cells: 108.0; Application: Commercial; minimum wattage: 420.0; weight: 21.5; product url: [DEEP BLUE 3.0 - JAM54S30  - 395 - 420 Watt (420W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-deep-blue-3-0-jam54s30-395-420-watt-420w-)
18,First Solar Series 4x PV Module  105  1175 Watt 105W,name: First Solar Series 4x PV Module  105  1175 Watt 105W; Manufacturer (Brand): First Solar; Cell Type: Thin-film; Cell Dimensions: 1200 x 600 x 6.8mm; Number of cells: 105.0; Application: Residential; minimum wattage: 105.0; weight: 12.0; product url: [First Solar Series 4x PV Module - 105 - 117.5 Watt (105W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-4x-pv-module-105-117-5-watt-105w-)
19,Eagle 72HM G5b 525545 Watt Half Cell Bifacial 530W,name: Eagle 72HM G5b 525545 Watt Half Cell Bifacial 530W; Manufacturer (Brand): Jinko Solar; Cell Type: Half-Cell; Cell Dimensions: 2274 x 1134 x 40mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 530.0; weight: 13.34; product url: [Eagle 72HM G5b. 525-545 Watt. Half Cell Bifacial. (530W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-eagle-72hm-g5b-525-545-watt-half-cell-bifacial-530w-)
20,Monocrystalline PV Module  PENTA+ Premium  330  350 Watt 335W,name: Monocrystalline PV Module  PENTA+ Premium  330  350 Watt 335W; Manufacturer (Brand): Astronergy; Cell Type: Monocrystalline; Cell Dimensions: 1692 x 1002 x 35mm; Number of cells: nan; Application: Residential; minimum wattage: 335.0; weight: 19.1; product url: [Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (335W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-330-350-watt-335w-)
21,Duomax BIFACIAL DUAL GLASS 72LAYOUT MODULE  350  370 Watt 360W,name: Duomax BIFACIAL DUAL GLASS 72LAYOUT MODULE  350  370 Watt 360W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline; Cell Dimensions: 2000 x 1000 x 25mm; Number of cells: 72.0; Application: Residential; minimum wattage: 360.0; weight: 31.0; product url: [Duomax BIFACIAL DUAL GLASS 72-LAYOUT MODULE - 350 - 370 Watt (360W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-duomax-bifacial-dual-glass-72-layout-module-350-370-watt-360w-)
22,Polycrystalline PV Module  PENTA Classic  265  280 Watt 275W,name: Polycrystalline PV Module  PENTA Classic  265  280 Watt 275W; Manufacturer (Brand): Astronergy; Cell Type: Monocrystalline; Cell Dimensions: 1650 x 992 x 35mm; Number of cells: nan; Application: Residential; minimum wattage: 275.0; weight: 18.4; product url: [Polycrystalline PV Module - PENTA Classic - 265 - 280 Watt (275W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-polycrystalline-pv-module-penta-classic-265-280-watt-275w-)
23,Monocrystalline PV Module  PENTA+ Premium  330  350 Watt 330W,name: Monocrystalline PV Module  PENTA+ Premium  330  350 Watt 330W; Manufacturer (Brand): Astronergy; Cell Type: Monocrystalline; Cell Dimensions: 1692 x 1002 x 35mm; Number of cells: nan; Application: Residential; minimum wattage: 330.0; weight: 19.1; product url: [Monocrystalline PV Module - PENTA+ Premium - 330 - 350 Watt (330W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-330-350-watt-330w-)
24,REC Alpha PureR Series  400  430 Watt 410W,name: REC Alpha PureR Series  400  430 Watt 410W; Manufacturer (Brand): REC Solar; Cell Type: Half-Cell; Cell Dimensions: 1730 x 1118 x 30mm; Number of cells: 80.0; Application: Residential; minimum wattage: 410.0; weight: 21.5; product url: [REC Alpha Pure-R Series - 400 - 430 Watt (410W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rec-alpha-pure-r-series-400-430-watt-410w-)
25,Monocrystalline PV Module  PENTA+ Premium  290  315 Watt 295W,name: Monocrystalline PV Module  PENTA+ Premium  290  315 Watt 295W; Manufacturer (Brand): Astronergy; Cell Type: Monocrystalline; Cell Dimensions: 1650 x 992 x 35mm; Number of cells: nan; Application: Residential; minimum wattage: 295.0; weight: 18.4; product url: [Monocrystalline PV Module - PENTA+ Premium - 290 - 315 Watt (295W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-290-315-watt-295w-)
26,Tallmax Framed 252 Layout Module  470  490 Watt 480W,name: Tallmax Framed 252 Layout Module  470  490 Watt 480W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline PERC; Cell Dimensions: 2315 x 1016 x 35mm; Number of cells: 252.0; Application: Commercial; minimum wattage: 480.0; weight: 26.0; product url: [Tallmax Framed 252 Layout Module - 470 - 490 Watt (480W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tallmax-framed-252-layout-module-470-490-watt-480w-)
27,Monocrystalline PV Module PENTA Premium  275  290 Watt 280W,name: Monocrystalline PV Module PENTA Premium  275  290 Watt 280W; Manufacturer (Brand): Astronergy; Cell Type: Monocrystalline; Cell Dimensions: 1650 x 992 x 35mm; Number of cells: nan; Application: Residential; minimum wattage: 280.0; weight: 18.4; product url: [Monocrystalline PV Module- PENTA Premium - 275 - 290 Watt (280W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-penta-premium-275-290-watt-280w-)
28,First Solar Series 4x PV Module  105  1175 Watt 115W,name: First Solar Series 4x PV Module  105  1175 Watt 115W; Manufacturer (Brand): First Solar; Cell Type: Thin-film; Cell Dimensions: 1200 x 600 x 6.8mm; Number of cells: 105.0; Application: Residential; minimum wattage: 115.0; weight: 12.0; product url: [First Solar Series 4x PV Module - 105 - 117.5 Watt (115W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-4x-pv-module-105-117-5-watt-115w-)
29,First Solar Series 6     430   460 Watt 455W,name: First Solar Series 6     430   460 Watt 455W; Manufacturer (Brand): First Solar; Cell Type: Thin-film; Cell Dimensions: 2009 x 1232 x 49mm; Number of cells: 264.0; Application: Commercial; minimum wattage: 455.0; weight: 34.5; product url: [First Solar Series 6    - 430 -  460 Watt (455W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-first-solar-series-6-430-460-watt-455w-)
30,HiKu 400  425 Watt Monocrystalline PERC 425W,name: HiKu 400  425 Watt Monocrystalline PERC 425W; Manufacturer (Brand): Canadian Solar; Cell Type: Monocrystalline; Cell Dimensions: 1940 x 1048 x 35mm; Number of cells: 132.0; Application: Commercial; minimum wattage: 425.0; weight: 10.21; product url: [HiKu. 400 - 425 Watt. Monocrystalline PERC. (425W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-hiku-400-425-watt-monocrystalline-perc-425w-)
31,Duomax BIFACIAL DUAL GLASS 60LAYOUT FRAMED MODULE  295  310 Watt 310W,name: Duomax BIFACIAL DUAL GLASS 60LAYOUT FRAMED MODULE  295  310 Watt 310W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline; Cell Dimensions: 1685 x 1000 x 25mm; Number of cells: 60.0; Application: Residential; minimum wattage: 310.0; weight: 26.0; product url: [Duomax BIFACIAL DUAL GLASS 60-LAYOUT FRAMED MODULE - 295 - 310 Watt (310W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-duomax-bifacial-dual-glass-60-layout-framed-module-295-310-watt-310w-)
32,Tiger Neo Ntype 72HL49V 565585 Watt Mono Facial Module NType 580W,name: Tiger Neo Ntype 72HL49V 565585 Watt Mono Facial Module NType 580W; Manufacturer (Brand): Jinko Solar; Cell Type: N-type Monocrystalline; Cell Dimensions: 2278 x 1134 x 35mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 580.0; weight: 12.7; product url: [Tiger Neo N-type 72HL4-9V. 565-585 Watt. Mono Facial Module. N-Type. (580W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-neo-n-type-72hl4-9v-565-585-watt-mono-facial-module-n-type-580w-)
33,Mono 465W MBB HalfCell Module   440  465 Watt 460W,name: Mono 465W MBB HalfCell Module   440  465 Watt 460W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 2120 x 1052 x 40mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 460.0; weight: 25.0; product url: [Mono 465W MBB Half-Cell Module  - 440 - 465 Watt (460W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-465w-mbb-half-cell-module-440-465-watt-460w-)
34,Mono 465W MBB HalfCell Module   440  465 Watt 445W,name: Mono 465W MBB HalfCell Module   440  465 Watt 445W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 2120 x 1052 x 40mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 445.0; weight: 25.0; product url: [Mono 465W MBB Half-Cell Module  - 440 - 465 Watt (445W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-465w-mbb-half-cell-module-440-465-watt-445w-)
35,QPEAK DUO XLG10 SERIES  475  490 Watt 475W,name: QPEAK DUO XLG10 SERIES  475  490 Watt 475W; Manufacturer (Brand): Q Cells; Cell Type: Monocrystalline; Cell Dimensions: 2216 x 1045 x 35mm; Number of cells: 156.0; Application: Commercial; minimum wattage: 475.0; weight: 29.1; product url: [Q.PEAK DUO XL-G10 SERIES - 475 - 490 Watt (475W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-q-peak-duo-xl-g10-series-475-490-watt-475w-)
36,Vertex BACKSHEET MONOCRYSTALLINE MODULE   380  405 Watt 380W,name: Vertex BACKSHEET MONOCRYSTALLINE MODULE   380  405 Watt 380W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline; Cell Dimensions: 1754 x 1096 x 30mm; Number of cells: 120.0; Application: Residential; minimum wattage: 380.0; weight: 21.0; product url: [Vertex BACKSHEET MONOCRYSTALLINE MODULE  - 380 - 405 Watt (380W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-vertex-backsheet-monocrystalline-module-380-405-watt-380w-)
37,Mono 340W MBB HalfCell Module  320  340 Watt 325W,name: Mono 340W MBB HalfCell Module  320  340 Watt 325W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 1689 x 996 x 35mm; Number of cells: 120.0; Application: Residential; minimum wattage: 325.0; weight: 18.7; product url: [Mono 340W MBB Half-Cell Module - 320 - 340 Watt (325W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-340w-mbb-half-cell-module-320-340-watt-325w-)
38,Mono 465W MBB Bifacial Monocrystalline PERC  440  465 Watt 455W,name: Mono 465W MBB Bifacial Monocrystalline PERC  440  465 Watt 455W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 2117 x 1052 x 35mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 455.0; weight: 27.3; product url: [Mono 465W MBB Bifacial Monocrystalline PERC - 440 - 465 Watt (455W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-465w-mbb-bifacial-monocrystalline-perc-440-465-watt-455w-)
39,Jinko Tiger NeoJKM420N54HL4RB,name: Jinko Tiger NeoJKM420N54HL4RB; Manufacturer (Brand): Jinko Solar; Cell Type: N-type Monocrystalline; Cell Dimensions: 1762 x 1134 x 30mm; Number of cells: 108.0; Application: Commercial; minimum wattage: 420.0; weight: 22.0; product url: [Jinko Tiger Neo-JKM420N-54HL4R-B](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-jinko-solar-tiger-neo-420w)
40,MULTIBUSBAR 120 HALFCELL BOB MODULE 310335 Watt 320W,name: MULTIBUSBAR 120 HALFCELL BOB MODULE 310335 Watt 320W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline; Cell Dimensions: 1690 x 996 x 35mm; Number of cells: 120.0; Application: Residential; minimum wattage: 320.0; weight: 18.0; product url: [MULTI-BUSBAR 120 HALF-CELL BOB MODULE 310-335 Watt (320W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-multi-busbar-120-half-cell-bob-module-310-335-watt-320w-)
41,RSM408385MB405MB  385  405 Watt 390W,name: RSM408385MB405MB  385  405 Watt 390W; Manufacturer (Brand): Risen Energy; Cell Type: Monocrystalline; Cell Dimensions: 1754 x 1096 x 30mm; Number of cells: 120.0; Application: Residential; minimum wattage: 390.0; weight: 21.0; product url: [RSM40-8-385MB-405MB - 385 - 405 Watt (390W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rsm40-8-385mb-405mb-385-405-watt-390w-)
42,Eagle 72HM G5b 525545 Watt Half Cell Bifacial 545W,name: Eagle 72HM G5b 525545 Watt Half Cell Bifacial 545W; Manufacturer (Brand): Jinko Solar; Cell Type: Half-Cell; Cell Dimensions: 2274 x 1134 x 40mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 545.0; weight: 13.34; product url: [Eagle 72HM G5b. 525-545 Watt. Half Cell Bifacial. (545W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-eagle-72hm-g5b-525-545-watt-half-cell-bifacial-545w-)
43,"Polycrystalline PV Module  PENTA+ Classic	  280  295 Watt 295W","name: Polycrystalline PV Module  PENTA+ Classic	  280  295 Watt 295W; Manufacturer (Brand): Astronergy; Cell Type: Polycrystalline; Cell Dimensions: 1650 x 992 x 35mm; Number of cells: nan; Application: Residential; minimum wattage: 295.0; weight: 18.4; product url: [Polycrystalline PV Module - PENTA+ Classic	 - 280 - 295 Watt (295W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-polycrystalline-pv-module-penta-classic-280-295-watt-295w-)"
44,Tallmax FRAMED 144 HALFCELL MODULE  380  410 Watt 395W,name: Tallmax FRAMED 144 HALFCELL MODULE  380  410 Watt 395W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline PERC; Cell Dimensions: 2015 x 996 x 35mm; Number of cells: 144.0; Application: Residential; minimum wattage: 395.0; weight: 22.0; product url: [Tallmax FRAMED 144 HALF-CELL MODULE - 380 - 410 Watt (395W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tallmax-framed-144-half-cell-module-380-410-watt-395w-)
45,Mono 350W MBB Bifacial Monocrystalline PERC  330  350 Watt 330W,name: Mono 350W MBB Bifacial Monocrystalline PERC  330  350 Watt 330W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 1711 x 1005 x 30mm; Number of cells: 120.0; Application: Residential; minimum wattage: 330.0; weight: 22.0; product url: [Mono 350W MBB Bifacial Monocrystalline PERC - 330 - 350 Watt (330W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-350w-mbb-bifacial-monocrystalline-perc-330-350-watt-330w-)
46,LG NeON R Prime 60 Cell  Monocrystalline  355  375 Watt 370W,name: LG NeON R Prime 60 Cell  Monocrystalline  355  375 Watt 370W; Manufacturer (Brand): LG Solar; Cell Type: Monocrystalline; Cell Dimensions: 1700 x 1016 x 40mm; Number of cells: 60.0; Application: Residential; minimum wattage: 370.0; weight: 17.5; product url: [LG NeON R Prime 60 Cell  Monocrystalline - 355 - 375 Watt (370W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-lg-neon-r-prime-60-cell-monocrystalline-355-375-watt-370w-)
47,"RSM1328650M670M	 650  670 Watt 655W","name: RSM1328650M670M	 650  670 Watt 655W; Manufacturer (Brand): Risen Energy; Cell Type: Monocrystalline; Cell Dimensions: 2384 x 1303 x 35mm; Number of cells: 132.0; Application: Commercial; minimum wattage: 655.0; weight: 36.0; product url: [RSM132-8-650M-670M	- 650 - 670 Watt (655W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rsm132-8-650m-670m-650-670-watt-655w-)"
48,Duomax BIFACIAL DUAL GLASS 144 CELL MULTI BUSBAR MODULE  390415 Watt 400W,name: Duomax BIFACIAL DUAL GLASS 144 CELL MULTI BUSBAR MODULE  390415 Watt 400W; Manufacturer (Brand): Trina Solar; Cell Type: Monocrystalline; Cell Dimensions: 2024 x 1002 x 30mm; Number of cells: 144.0; Application: Residential; minimum wattage: 400.0; weight: 26.0; product url: [Duomax BIFACIAL DUAL GLASS 144 CELL MULTI BUSBAR MODULE - 390-415 Watt (400W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-duomax-bifacial-dual-glass-144-cell-multi-busbar-module-390-415-watt-400w-)
49,LG NeON R Prime 60 Cell  Monocrystalline  355  375 Watt 355W,name: LG NeON R Prime 60 Cell  Monocrystalline  355  375 Watt 355W; Manufacturer (Brand): LG Solar; Cell Type: Monocrystalline; Cell Dimensions: 1700 x 1016 x 40mm; Number of cells: 60.0; Application: Residential; minimum wattage: 355.0; weight: 17.5; product url: [LG NeON R Prime 60 Cell  Monocrystalline - 355 - 375 Watt (355W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-lg-neon-r-prime-60-cell-monocrystalline-355-375-watt-355w-)
50,Mono 465W MBB Bifacial Monocrystalline PERC  440  465 Watt 460W,name: Mono 465W MBB Bifacial Monocrystalline PERC  440  465 Watt 460W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 2117 x 1052 x 35mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 460.0; weight: 27.3; product url: [Mono 465W MBB Bifacial Monocrystalline PERC - 440 - 465 Watt (460W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-465w-mbb-bifacial-monocrystalline-perc-440-465-watt-460w-)
